transparent mesh count, total frame render time, shadow mapping time, geometry draw time, combination draw time
0,77.326336,76.688384,0.59904,77.287424
1,2.697216,2.56512,0.124928,2.690048
2,2.681856,2.548736,0.123904,2.67264
3,2.673664,2.532352,0.132096,2.664448
4,2.665472,2.5344,0.123904,2.658304
5,2.714624,2.576384,0.130048,2.706432
6,2.618368,2.568192,0.043008,2.6112
7,2.613248,2.563072,0.043008,2.60608
8,2.615296,2.564096,0.043008,2.607104
9,2.584576,2.533376,0.041984,2.57536
10,2.586624,2.537472,0.043008,2.58048
11,2.62656,2.566144,0.052224,2.618368
12,2.637824,2.577408,0.052224,2.629632
13,2.627584,2.568192,0.052224,2.620416
14,2.618368,2.558976,0.0512,2.610176
15,2.612224,2.552832,0.052224,2.605056
16,2.942976,2.883584,0.0512,2.934784
17,2.664448,2.604032,0.052224,2.656256
18,2.661376,2.601984,0.052224,2.654208
19,2.659328,2.599936,0.053248,2.653184
20,2.655232,2.59584,0.052224,2.648064
21,2.65216,2.592768,0.053248,2.646016
22,2.699264,2.639872,0.052224,2.692096
23,2.699264,2.638848,0.052224,2.691072
24,2.989056,2.92864,0.052224,2.980864
25,2.650112,2.589696,0.052224,2.64192
26,2.637824,2.577408,0.052224,2.629632
27,2.6368,2.576384,0.052224,2.628608
28,2.67264,2.612224,0.052224,2.664448
29,2.675712,2.615296,0.052224,2.66752
30,2.649088,2.588672,0.053248,2.64192
31,2.629632,2.569216,0.053248,2.622464
32,2.622464,2.562048,0.053248,2.615296
33,2.601984,2.542592,0.052224,2.594816
34,2.615296,2.55488,0.052224,2.607104
35,2.64704,2.586624,0.053248,2.639872
36,2.643968,2.583552,0.052224,2.635776
37,2.637824,2.577408,0.053248,2.630656
38,2.637824,2.577408,0.052224,2.629632
39,2.610176,2.54976,0.053248,2.603008
40,2.613248,2.551808,0.053248,2.605056
41,2.93376,2.873344,0.053248,2.926592
42,2.670592,2.6112,0.053248,2.664448
43,2.92352,2.86208,0.053248,2.915328
44,2.642944,2.583552,0.053248,2.6368
45,2.623488,2.562048,0.053248,2.615296
46,2.607104,2.545664,0.053248,2.598912
47,2.635776,2.57536,0.053248,2.628608
48,2.642944,2.583552,0.053248,2.6368
49,2.632704,2.572288,0.053248,2.625536
50,2.625536,2.564096,0.053248,2.617344
51,2.599936,2.540544,0.053248,2.593792
52,2.609152,2.548736,0.053248,2.601984
53,2.642944,2.581504,0.053248,2.634752
54,2.656256,2.593792,0.053248,2.64704
55,2.64704,2.5856,0.053248,2.638848
56,2.63168,2.57024,0.054272,2.624512
57,2.619392,2.557952,0.053248,2.6112
58,2.608128,2.546688,0.053248,2.599936
59,2.633728,2.572288,0.054272,2.62656
60,2.651136,2.589696,0.053248,2.642944
61,2.642944,2.581504,0.053248,2.634752
62,2.627584,2.566144,0.053248,2.619392
63,2.619392,2.557952,0.054272,2.612224
64,2.60608,2.54464,0.054272,2.598912
65,2.635776,2.574336,0.053248,2.627584
66,2.656256,2.594816,0.053248,2.648064
67,2.653184,2.592768,0.053248,2.646016
68,2.691072,2.629632,0.053248,2.68288
69,2.671616,2.610176,0.054272,2.664448
70,2.658304,2.596864,0.053248,2.650112
71,2.619392,2.556928,0.054272,2.6112
72,2.623488,2.562048,0.054272,2.61632
73,2.663424,2.60096,0.054272,2.655232
74,2.658304,2.596864,0.053248,2.650112
75,2.64704,2.584576,0.054272,2.638848
76,2.640896,2.58048,0.054272,2.634752
77,2.617344,2.555904,0.054272,2.610176
78,2.619392,2.556928,0.054272,2.6112
79,2.655232,2.592768,0.054272,2.64704
80,2.658304,2.59584,0.054272,2.650112
81,2.931712,2.869248,0.054272,2.92352
82,2.982912,2.920448,0.054272,2.97472
83,2.688,2.625536,0.054272,2.679808
84,2.660352,2.596864,0.054272,2.651136
85,2.639872,2.577408,0.054272,2.63168
86,2.617344,2.556928,0.054272,2.6112
87,2.623488,2.561024,0.055296,2.61632
88,2.654208,2.592768,0.054272,2.64704
89,2.655232,2.593792,0.055296,2.649088
90,2.658304,2.59584,0.054272,2.650112
91,2.978816,2.916352,0.054272,2.970624
92,2.69312,2.630656,0.054272,2.684928
