transparent mesh count, total frame render time, shadow mapping time, geometry draw time, combination draw time
0,77.490176,75.193344,2.260992,77.454336
1,77.632512,75.64288,1.965056,77.607936
2,2.683904,2.55488,0.119808,2.674688
3,2.699264,2.557952,0.13312,2.691072
4,3.013632,2.881536,0.123904,3.00544
5,2.747392,2.612224,0.129024,2.741248
6,2.745344,2.625536,0.111616,2.737152
7,2.704384,2.586624,0.110592,2.697216
8,2.717696,2.60096,0.108544,2.709504
9,2.741248,2.622464,0.110592,2.733056
10,2.741248,2.622464,0.110592,2.733056
11,2.731008,2.6112,0.11264,2.72384
12,2.72384,2.587648,0.130048,2.717696
13,2.717696,2.582528,0.126976,2.709504
14,2.66752,2.531328,0.128,2.659328
15,2.669568,2.532352,0.129024,2.661376
16,2.685952,2.550784,0.129024,2.679808
17,2.695168,2.56,0.129024,2.689024
18,2.705408,2.567168,0.129024,2.696192
19,2.712576,2.57536,0.129024,2.704384
20,2.71872,2.577408,0.132096,2.709504
21,2.668544,2.533376,0.129024,2.6624
22,2.681856,2.543616,0.130048,2.673664
23,2.701312,2.564096,0.129024,2.69312
24,2.712576,2.574336,0.130048,2.704384
25,2.704384,2.568192,0.130048,2.69824
26,2.711552,2.573312,0.130048,2.70336
27,2.670592,2.533376,0.129024,2.6624
28,2.684928,2.545664,0.131072,2.676736
29,2.701312,2.562048,0.131072,2.69312
30,2.699264,2.562048,0.131072,2.69312
31,2.699264,2.56,0.131072,2.691072
32,2.669568,2.5344,0.130048,2.664448
33,3.002368,2.865152,0.131072,2.996224
34,2.746368,2.609152,0.129024,2.738176
35,2.75968,2.618368,0.13312,2.751488
36,2.772992,2.633728,0.132096,2.765824
37,2.766848,2.62656,0.13312,2.75968
38,2.768896,2.63168,0.130048,2.761728
39,2.777088,2.638848,0.131072,2.76992
40,2.747392,2.607104,0.132096,2.7392
41,2.735104,2.59584,0.131072,2.726912
42,2.7392,2.601984,0.131072,2.733056
43,2.705408,2.567168,0.131072,2.69824
44,2.701312,2.56,0.13312,2.69312
45,2.701312,2.562048,0.132096,2.694144
46,2.725888,2.586624,0.132096,2.71872
47,2.674688,2.537472,0.132096,2.669568
48,3.032064,2.891776,0.13312,3.024896
49,2.686976,2.545664,0.134144,2.679808
50,2.694144,2.55488,0.131072,2.685952
51,2.704384,2.563072,0.134144,2.697216
52,2.704384,2.564096,0.13312,2.697216
53,2.715648,2.573312,0.135168,2.70848
54,2.721792,2.581504,0.132096,2.7136
55,2.733056,2.593792,0.132096,2.725888
56,2.760704,2.620416,0.132096,2.752512
57,2.70848,2.568192,0.13312,2.701312
58,2.679808,2.538496,0.13312,2.671616
59,2.691072,2.551808,0.132096,2.683904
60,2.70848,2.567168,0.135168,2.702336
61,2.706432,2.563072,0.135168,2.69824
62,3.019776,2.879488,0.13312,3.012608
63,2.753536,2.613248,0.134144,2.747392
64,2.720768,2.579456,0.13312,2.712576
65,2.719744,2.579456,0.13312,2.712576
66,2.680832,2.53952,0.135168,2.674688
67,2.678784,2.53952,0.134144,2.673664
68,2.697216,2.557952,0.13312,2.691072
69,2.705408,2.564096,0.134144,2.69824
70,2.710528,2.567168,0.136192,2.70336
71,2.7136,2.57024,0.137216,2.707456
72,2.745344,2.60096,0.136192,2.737152
73,2.719744,2.57536,0.136192,2.711552
74,2.722816,2.579456,0.135168,2.714624
75,2.74944,2.605056,0.137216,2.742272
76,2.700288,2.555904,0.137216,2.69312
77,2.757632,2.615296,0.134144,2.74944
78,2.736128,2.592768,0.136192,2.72896
79,2.68288,2.53952,0.136192,2.675712
80,2.680832,2.541568,0.13312,2.674688
81,2.74432,2.60096,0.135168,2.736128
82,2.73408,2.59072,0.136192,2.726912
83,2.701312,2.555904,0.137216,2.69312
84,2.690048,2.547712,0.136192,2.683904
85,2.75456,2.612224,0.136192,2.748416
86,2.78016,2.637824,0.134144,2.771968
87,2.737152,2.593792,0.137216,2.731008
88,2.710528,2.568192,0.136192,2.704384
89,2.772992,2.629632,0.136192,2.765824
90,2.76992,2.62656,0.135168,2.761728
91,2.712576,2.568192,0.137216,2.705408
92,2.740224,2.5856,0.146432,2.732032
93,2.791424,2.644992,0.13824,2.783232
94,2.757632,2.613248,0.136192,2.74944
95,2.688,2.543616,0.137216,2.680832
96,2.688,2.542592,0.137216,2.679808
97,2.689024,2.54464,0.137216,2.681856
98,2.705408,2.56,0.13824,2.69824
99,2.746368,2.601984,0.136192,2.738176
100,2.78016,2.635776,0.137216,2.772992
101,2.768896,2.620416,0.140288,2.760704
102,2.725888,2.569216,0.14848,2.717696
103,3.00032,2.853888,0.139264,2.993152
104,2.7904,2.638848,0.144384,2.783232
105,2.768896,2.624512,0.136192,2.760704
106,2.69824,2.552832,0.139264,2.692096
107,2.688,2.542592,0.137216,2.679808
108,2.692096,2.548736,0.136192,2.684928
109,2.71872,2.569216,0.141312,2.710528
110,2.715648,2.568192,0.140288,2.70848
111,3.013632,2.866176,0.142336,3.008512
112,2.717696,2.572288,0.13824,2.710528
113,2.717696,2.57024,0.140288,2.710528
114,2.722816,2.574336,0.142336,2.716672
115,2.953216,2.808832,0.137216,2.946048
116,2.74944,2.604032,0.13824,2.742272
117,2.73408,2.584576,0.14336,2.727936
118,2.69312,2.54464,0.141312,2.685952
119,2.719744,2.572288,0.140288,2.712576
120,2.746368,2.60096,0.13824,2.7392
121,2.753536,2.603008,0.14336,2.746368
122,2.745344,2.59584,0.141312,2.737152
123,2.726912,2.571264,0.14848,2.719744
124,2.719744,2.57024,0.141312,2.711552
125,2.750464,2.599936,0.142336,2.742272
126,2.737152,2.581504,0.147456,2.72896
127,2.725888,2.563072,0.154624,2.717696
