transparent mesh count, total frame render time, shadow mapping time, geometry draw time, combination draw time
0,3.132416,2.607104,0.475136,3.083264
0,1.618944,1.057792,0.52224,1.581056
0,1.71008,1.09056,0.576512,1.668096
0,1.820672,1.230848,0.557056,1.788928
0,3.01568,2.403328,0.576512,2.981888
1,4.015104,1.158144,2.814976,6.264832
1,1.7664,0.974848,0.75264,2.016256
1,1.770496,0.963584,0.768,2.020352
1,1.855488,1.06496,0.75776,2.112512
1,3.156992,1.043456,2.080768,3.421184
2,2.205696,1.132544,1.03424,2.733056
2,1.948672,0.939008,0.974848,2.481152
2,3.453952,1.154048,2.270208,5.159936
2,2.06336,1.035264,0.999424,2.599936
2,2.093056,0.961536,1.101824,2.633728
3,2.466816,1.161216,1.276928,3.284992
3,2.236416,0.954368,1.252352,3.054592
3,2.243584,0.964608,1.250304,3.06176
3,2.49856,1.166336,1.303552,3.318784
3,3.347456,0.951296,2.367488,5.282816
4,3.694592,0.974848,2.692096,5.945344
4,2.528256,0.965632,1.52576,3.613696
4,2.49856,0.93184,1.531904,3.587072
4,3.702784,0.95744,2.715648,4.798464
4,5.50912,2.351104,3.122176,8.025088
5,4.078592,0.982016,3.068928,6.701056
5,2.822144,0.976896,1.8176,4.192256
5,4.032512,0.984064,3.013632,6.576128
5,2.850816,0.9984,1.82272,4.220928
5,2.82112,0.980992,1.81248,4.192256
6,3.149824,1.02912,2.092032,4.794368
6,3.080192,0.969728,2.080768,4.72576
6,3.308544,1.11104,2.168832,4.95616
6,3.01568,0.887808,2.092032,4.657152
6,5.584896,0.975872,4.579328,9.60512
7,3.674112,1.15712,2.48832,5.61664
7,4.744192,0.991232,3.723264,8.018944
7,4.733952,1.181696,3.519488,7.71584
7,4.68992,1.17248,3.483648,7.663616
7,5.895168,1.165312,4.69504,10.102784
8,5.569536,1.373184,4.161536,9.18528
8,5.53984,1.357824,4.148224,9.157632
8,9.990144,1.292288,8.656896,18.1504
8,5.799936,1.257472,4.506624,9.672704
8,11.152384,1.26464,9.852928,20.502528
9,6.284288,1.380352,4.859904,10.641408
