transparent mesh count, total frame render time, shadow mapping time, geometry draw time, combination draw time
0,1.76128,1.245184,0.456704,1.703936
20,11.718656,1.236992,10.433536,21.456896
40,21.53472,1.344512,20.141056,40.997888
60,31.118336,1.255424,29.820928,60.258304
80,78.778368,1.16224,77.566976,155.634688
100,44.618752,1.13664,43.433984,87.36768
120,99.69152,2.705408,96.93696,196.032512
140,61.207552,1.083392,60.075008,120.630272
160,79.63648,1.42848,78.129152,157.002752
180,88.773632,1.173504,87.549952,175.630336
200,115.593216,1.183744,114.36032,229.279744
220,127.169536,1.191936,125.933568,252.566528
240,132.334592,1.29024,131.00032,262.786048
260,126.429184,1.190912,125.19424,251.092992
280,130.020352,1.271808,128.705536,257.968128
300,155.773952,1.312768,154.41408,309.608448
320,188.423168,1.201152,187.180032,375.079936
340,183.510016,1.282048,182.183936,365.139968
360,213.50912,1.206272,212.25984,425.225216
380,204.705792,0.937984,203.72992,408.158208
400,198.38976,1.504256,196.841472,394.51648
420,206.191616,1.358848,204.78976,410.479616
440,190.718976,1.234944,189.441024,379.674624
460,232.498176,1.313792,231.1424,463.166464
480,271.555584,1.41312,270.098432,541.181952
500,196.690944,1.593344,195.054592,391.259136
520,215.461888,1.29536,214.124544,429.113344
540,278.489088,1.302528,277.144576,555.147264
560,198.950912,1.224704,197.684224,396.16512
580,252.33408,1.25952,251.032576,502.884352
600,295.965696,1.241088,294.680576,590.173184
620,221.232128,1.496064,219.69408,440.275968
640,290.294784,1.289216,288.961536,578.463744
660,285.668352,1.23904,284.38528,569.505792
680,295.031808,1.28512,293.702656,588.259328
700,285.041664,1.253376,283.744256,567.949312
720,289.313792,2.670592,286.598144,575.478784
740,278.750208,0.86016,277.859328,556.388352
760,328.697856,1.296384,327.358464,655.55456
780,245.03808,1.410048,243.581952,488.12544
800,206.121984,1.271808,204.807168,410.456064
820,214.76352,1.286144,213.434368,427.672576
840,322.78528,1.70496,321.036288,643.334144
860,306.612224,1.327104,305.242112,611.36384
880,297.289728,1.26464,295.98208,592.785408
900,232.23808,1.327104,230.868992,462.616576
920,342.97344,1.299456,341.630976,684.110848
940,288.272384,1.335296,286.895104,573.937664
960,272.372736,1.271808,271.05792,542.947328
980,223.40608,1.555456,221.806592,444.676096
1000,355.284992,1.276928,353.967104,708.773888
1020,342.92224,1.309696,341.57056,683.614208
1040,259.849216,1.723392,258.081792,516.017152
1060,302.32064,1.340416,300.911616,602.714112
1080,218.35776,1.6128,216.704,434.422784
1100,318.594048,1.425408,317.124608,635.216896
1120,333.425664,1.622016,331.759616,664.600576
1140,290.898944,1.288192,289.567744,579.975168
1160,350.178304,1.586176,348.54912,698.070016
1180,291.003392,1.371136,289.590272,579.709952
1200,335.470592,1.302528,334.125056,669.084672
1220,230.483968,1.736704,228.70528,458.686464
1240,348.766208,1.661952,347.061248,695.293952
1260,242.9696,2.765824,240.160768,482.678784
1280,231.891968,1.31584,230.534144,461.471744
1300,263.97184,1.311744,262.617088,526.068736
1320,250.170368,1.35168,248.77568,498.455552
1340,266.128384,1.368064,264.717312,530.332672
1360,346.656768,1.327104,345.28768,691.459072
1380,265.1904,1.314816,263.832576,528.521216
1400,362.717184,1.314816,361.360384,723.593216
1420,233.235456,1.78688,231.406592,463.901696
1440,354.417664,3.206144,351.152128,703.294464
1460,283.83744,1.328128,282.466304,565.789696
1480,236.3648,1.768448,234.55232,470.417408
1500,378.540032,1.329152,377.168896,755.209216
1520,328.056832,1.340416,326.674432,654.219264
1540,371.432448,1.398784,369.992704,740.927488
1560,325.202944,1.403904,323.756032,648.198144
1580,342.752256,1.63328,341.076992,683.01312
1600,281.143296,1.333248,279.769088,560.413696
1620,260.625408,1.3568,259.2256,519.337984
1640,247.940096,1.78176,246.117376,493.564928
1660,370.85184,1.34144,369.468416,739.820544
1680,278.39488,1.370112,276.982784,554.83392
1700,266.365952,1.364992,264.958976,530.808832
1720,278.669312,1.379328,277.249024,555.413504
1740,327.068672,1.726464,325.300224,651.86816
1760,392.873984,1.3568,391.4752,783.855616
1780,250.778624,1.614848,249.119744,499.29728
1800,340.19328,1.363968,338.786304,678.489088
1820,366.365696,1.462272,364.860416,730.698752
1840,331.705344,1.465344,330.196992,661.414912
1860,270.756864,2.885632,267.829248,538.112
1880,301.830144,1.42848,300.358656,601.509888
1900,351.55456,1.432576,350.08,700.914688
1920,277.277696,1.581056,275.654656,552.430592
1940,277.7344,1.410048,276.282368,553.50784
1960,361.207808,1.4592,359.7056,719.9232
1980,306.28864,2.981888,303.264768,609.099776
2000,257.038336,1.847296,255.121408,511.378432
