transparent mesh count, total frame render time, shadow mapping time, geometry draw time, combination draw time
0,8.129536,4.856832,3.23072,8.087552
1,2.948096,1.892352,1.016832,2.909184
2,3.147776,2.156544,0.950272,3.106816
3,2.824192,1.835008,0.949248,2.784256
4,2.822144,1.855488,0.93184,2.787328
5,3.253248,2.24256,0.978944,3.221504
6,2.828288,1.845248,0.944128,2.789376
7,2.842624,1.862656,0.948224,2.81088
8,2.944,1.93024,0.980992,2.911232
9,3.146752,2.182144,0.932864,3.115008
10,2.824192,1.849344,0.943104,2.792448
11,4.707328,1.84832,2.829312,4.677632
12,2.919424,1.820672,1.063936,2.884608
13,3.080192,2.064384,0.986112,3.050496
14,3.00032,1.961984,1.009664,2.971648
15,3.26144,2.096128,1.137664,3.233792
16,3.044352,1.9968,1.019904,3.016704
17,3.769344,2.732032,1.00864,3.740672
18,3.513344,2.496512,0.98816,3.484672
19,2.866176,1.842176,0.995328,2.837504
20,3.27168,2.239488,1.002496,3.241984
21,3.192832,2.023424,1.14176,3.165184
22,3.039232,2.016256,0.99328,3.009536
23,2.968576,1.92,1.017856,2.937856
24,3.790848,2.745344,1.007616,3.75296
25,3.083264,2.055168,0.999424,3.054592
26,3.218432,2.19648,0.99328,3.18976
27,3.444736,2.340864,1.0752,3.416064
28,2.885632,1.85344,1.002496,2.855936
29,2.939904,1.84832,1.062912,2.911232
30,2.906112,1.862656,1.014784,2.87744
31,2.905088,1.862656,1.014784,2.87744
32,3.56352,2.5344,1.001472,3.535872
33,2.904064,1.85856,1.015808,2.874368
34,6.734848,4.11648,2.59072,6.7072
35,4.54656,1.893376,2.62144,4.514816
36,3.381248,2.326528,1.027072,3.3536
37,3.201024,2.061312,1.110016,3.171328
38,3.448832,2.399232,1.021952,3.421184
39,3.057664,1.9968,1.032192,3.028992
40,3.022848,1.944576,1.050624,2.9952
41,7.054336,4.47488,2.551808,7.026688
42,3.667968,2.612224,1.028096,3.64032
43,3.141632,2.10432,1.009664,3.113984
44,3.126272,2.059264,1.037312,3.096576
45,3.150848,1.983488,1.138688,3.122176
46,3.119104,2.08384,1.006592,3.090432
47,3.0976,2.030592,1.037312,3.067904
48,3.794944,2.719744,1.046528,3.766272
49,3.04128,1.977344,1.03424,3.011584
50,3.042304,1.973248,1.040384,3.013632
51,6.759424,4.103168,2.62656,6.729728
52,3.28704,2.139136,1.120256,3.259392
53,3.700736,2.648064,1.025024,3.673088
54,3.192832,2.132992,1.031168,3.16416
55,2.961408,1.896448,1.036288,2.932736
56,2.977792,1.902592,1.046528,2.94912
57,3.700736,2.638848,1.032192,3.67104
58,2.953216,1.885184,1.033216,2.9184
59,6.514688,3.767296,2.71872,6.486016
60,3.545088,2.48832,1.026048,3.514368
61,2.931712,1.875968,1.027072,2.90304
62,2.953216,1.882112,1.042432,2.924544
63,3.596288,2.538496,1.02912,3.567616
64,2.975744,1.895424,1.052672,2.948096
65,2.953216,1.869824,1.053696,2.92352
66,3.555328,2.496512,1.02912,3.525632
67,2.977792,1.903616,1.045504,2.94912
68,2.95936,1.903616,1.027072,2.930688
69,3.406848,2.239488,1.137664,3.377152
70,4.661248,1.907712,2.72384,4.631552
71,2.960384,1.887232,1.040384,2.927616
72,3.687424,2.461696,1.19808,3.659776
73,3.016704,1.906688,1.082368,2.989056
74,2.958336,1.891328,1.037312,2.92864
75,3.304448,2.11968,1.155072,3.274752
76,3.149824,2.064384,1.056768,3.121152
