transparent mesh count, total frame render time, shadow mapping time, geometry draw time, combination draw time
0,1.840128,1.364992,0.42496,1.789952
1,3.175424,2.541568,0.587776,3.129344
2,1.753088,1.120256,0.585728,1.705984
3,1.795072,1.180672,0.575488,1.75616
4,1.7664,1.142784,0.586752,1.729536
5,1.769472,1.165312,0.566272,1.731584
6,1.757184,1.158144,0.561152,1.719296
7,1.93024,1.3056,0.577536,1.883136
8,2.002944,1.40288,0.564224,1.967104
9,1.790976,1.160192,0.585728,1.74592
10,1.78688,1.173504,0.575488,1.748992
11,2.801664,2.304,0.46592,2.76992
12,1.675264,1.0752,0.56832,1.64352
13,1.554432,1.08544,0.436224,1.521664
14,1.613824,1.152,0.429056,1.581056
15,1.691648,1.217536,0.441344,1.65888
16,1.903616,1.266688,0.60416,1.870848
17,1.970176,1.462272,0.475136,1.937408
18,1.54112,1.08544,0.422912,1.508352
19,1.593344,1.106944,0.453632,1.560576
20,1.565696,1.099776,0.433152,1.532928
21,1.662976,1.189888,0.44032,1.630208
22,1.552384,1.096704,0.422912,1.519616
23,1.87904,1.41824,0.43008,1.84832
24,3.158016,2.648064,0.47104,3.119104
25,1.59744,1.108992,0.448512,1.557504
26,1.567744,1.104896,0.429056,1.533952
27,1.559552,1.103872,0.422912,1.526784
28,1.770496,1.31072,0.428032,1.738752
29,1.87392,1.17248,0.669696,1.842176
30,1.567744,1.09568,0.438272,1.533952
31,1.635328,1.165312,0.437248,1.60256
32,1.533952,1.083392,0.418816,1.502208
33,1.609728,1.143808,0.434176,1.577984
34,2.85184,2.343936,0.474112,2.818048
35,1.5872,1.120256,0.436224,1.55648
36,1.568768,1.107968,0.428032,1.536
37,1.569792,1.10592,0.431104,1.537024
38,1.729536,1.271808,0.425984,1.697792
39,3.183616,2.695168,0.447488,3.142656
40,1.630208,1.134592,0.463872,1.598464
41,1.572864,1.101824,0.439296,1.54112
42,1.590272,1.115136,0.441344,1.55648
43,1.569792,1.102848,0.434176,1.537024
44,1.683456,1.225728,0.425984,1.651712
45,2.013184,1.324032,0.656384,1.980416
46,1.85856,1.227776,0.598016,1.825792
47,1.928192,1.293312,0.602112,1.895424
48,1.987584,1.08032,0.87552,1.95584
49,1.557504,1.096704,0.429056,1.52576
50,1.651712,1.127424,0.49152,1.618944
51,1.57696,1.099776,0.443392,1.543168
52,1.579008,1.098752,0.447488,1.54624
53,1.517568,1.045504,0.44032,1.485824
54,1.49504,1.03424,0.425984,1.460224
55,1.584128,1.1008,0.443392,1.544192
56,1.609728,1.128448,0.447488,1.575936
57,1.588224,1.104896,0.451584,1.55648
58,1.565696,1.104896,0.429056,1.533952
59,1.575936,1.101824,0.443392,1.545216
60,1.70496,1.240064,0.434176,1.67424
61,3.253248,2.816,0.403456,3.219456
62,1.596416,1.112064,0.451584,1.563648
63,1.659904,1.17248,0.45568,1.62816
64,1.936384,1.463296,0.441344,1.90464
65,1.55648,1.091584,0.433152,1.524736
66,1.82784,1.359872,0.437248,1.79712
67,3.62496,3.171328,0.422912,3.59424
68,1.59232,1.117184,0.442368,1.559552
69,2.869248,2.364416,0.472064,2.83648
70,1.642496,1.107968,0.50176,1.609728
71,3.149824,2.676736,0.441344,3.11808
72,2.722816,2.224128,0.46592,2.690048
73,1.555456,1.083392,0.439296,1.522688
74,1.54112,1.078272,0.43008,1.508352
75,1.554432,1.081344,0.441344,1.522688
76,1.671168,1.137664,0.499712,1.637376
77,1.598464,1.097728,0.470016,1.567744
78,1.584128,1.101824,0.449536,1.55136
79,1.60768,1.092608,0.482304,1.574912
80,1.547264,1.078272,0.436224,1.514496
81,1.54112,1.069056,0.439296,1.508352
82,1.677312,1.156096,0.488448,1.644544
83,1.593344,1.094656,0.46592,1.560576
84,1.596416,1.089536,0.473088,1.562624
85,1.64352,1.084416,0.52736,1.611776
86,1.721344,1.072128,0.616448,1.688576
87,1.759232,1.1264,0.600064,1.726464
88,1.734656,1.11104,0.591872,1.702912
89,1.933312,1.281024,0.620544,1.901568
90,1.875968,1.227776,0.6144,1.842176
91,3.46112,3.004416,0.42496,3.429376
92,1.567744,1.1008,0.433152,1.533952
93,1.657856,1.118208,0.50688,1.625088
94,1.55648,1.088512,0.437248,1.52576
95,1.56672,1.092608,0.44032,1.532928
96,1.608704,1.129472,0.447488,1.57696
97,1.59744,1.097728,0.46592,1.563648
98,1.5872,1.097728,0.45568,1.553408
99,1.73056,1.08544,0.612352,1.697792
100,1.866752,1.207296,0.625664,1.83296
101,1.618944,1.138688,0.448512,1.5872
102,1.718272,1.240064,0.44544,1.685504
103,1.555456,1.083392,0.439296,1.522688
