transparent mesh count, total frame render time, shadow mapping time, geometry draw time, combination draw time
0,1.169408,0.67584,0.452608,1.128448
1,1.046528,0.428032,0.579584,1.007616
2,1.051648,0.425984,0.584704,1.010688
3,1.05472,0.425984,0.5888,1.014784
4,1.061888,0.420864,0.605184,1.026048
5,1.032192,0.420864,0.580608,1.001472
6,1.030144,0.420864,0.57856,0.999424
7,1.053696,0.425984,0.585728,1.011712
8,1.050624,0.420864,0.595968,1.016832
9,1.031168,0.420864,0.575488,0.996352
10,1.032192,0.41984,0.580608,1.000448
11,0.948224,0.420864,0.498688,0.919552
12,0.821248,0.420864,0.370688,0.791552
13,0.817152,0.420864,0.367616,0.78848
14,0.940032,0.421888,0.489472,0.91136
15,0.81408,0.420864,0.364544,0.785408
16,0.913408,0.420864,0.464896,0.88576
17,0.830464,0.420864,0.380928,0.801792
18,0.818176,0.420864,0.367616,0.78848
19,0.817152,0.41984,0.36864,0.78848
20,0.822272,0.420864,0.371712,0.792576
21,0.852992,0.433152,0.384,0.817152
22,0.815104,0.41984,0.364544,0.784384
23,0.88576,0.420864,0.436224,0.857088
24,0.837632,0.421888,0.386048,0.807936
25,0.86016,0.438272,0.393216,0.831488
26,0.83456,0.431104,0.37376,0.804864
27,0.823296,0.420864,0.374784,0.795648
28,0.821248,0.420864,0.372736,0.7936
29,0.996352,0.420864,0.546816,0.96768
30,0.830464,0.421888,0.379904,0.801792
31,0.827392,0.421888,0.377856,0.799744
32,0.933888,0.420864,0.483328,0.904192
33,0.852992,0.420864,0.403456,0.82432
34,0.83968,0.41984,0.38912,0.80896
35,0.825344,0.421888,0.374784,0.796672
36,0.832512,0.420864,0.381952,0.802816
37,0.95744,0.41984,0.50688,0.92672
38,0.8192,0.420864,0.370688,0.791552
39,0.841728,0.432128,0.376832,0.80896
40,0.84992,0.420864,0.400384,0.821248
41,0.821248,0.420864,0.371712,0.792576
42,0.85504,0.421888,0.40448,0.826368
43,0.835584,0.420864,0.387072,0.807936
44,0.83456,0.420864,0.385024,0.805888
45,0.8192,0.420864,0.369664,0.790528
46,0.82432,0.420864,0.37376,0.794624
47,0.95744,0.420864,0.507904,0.928768
48,0.948224,0.42496,0.493568,0.918528
49,0.821248,0.420864,0.370688,0.791552
50,0.862208,0.41984,0.411648,0.831488
51,0.949248,0.428032,0.490496,0.918528
52,0.816128,0.420864,0.367616,0.78848
53,0.820224,0.420864,0.370688,0.791552
54,0.864256,0.420864,0.41472,0.835584
55,0.850944,0.420864,0.401408,0.822272
56,0.842752,0.433152,0.37376,0.806912
57,0.827392,0.41984,0.37888,0.79872
58,0.842752,0.420864,0.392192,0.813056
59,0.831488,0.420864,0.380928,0.801792
60,0.975872,0.420864,0.525312,0.946176
61,0.82432,0.420864,0.37376,0.794624
62,0.87552,0.420864,0.425984,0.846848
63,0.958464,0.420864,0.509952,0.930816
64,0.828416,0.420864,0.377856,0.79872
65,0.815104,0.420864,0.365568,0.786432
66,0.828416,0.420864,0.377856,0.79872
67,0.832512,0.420864,0.382976,0.80384
68,0.833536,0.420864,0.382976,0.80384
69,0.840704,0.420864,0.391168,0.812032
70,0.8192,0.420864,0.369664,0.790528
71,0.821248,0.420864,0.371712,0.792576
72,0.8192,0.420864,0.36864,0.789504
73,0.851968,0.421888,0.401408,0.823296
74,0.8448,0.420864,0.39424,0.815104
75,0.968704,0.421888,0.518144,0.940032
76,1.061888,0.420864,0.612352,1.033216
77,0.838656,0.421888,0.38912,0.811008
78,0.828416,0.420864,0.37888,0.799744
79,0.82432,0.420864,0.375808,0.796672
80,0.873472,0.459776,0.386048,0.845824
81,0.954368,0.420864,0.504832,0.925696
82,0.950272,0.420864,0.500736,0.9216
83,2.230272,0.420864,1.779712,2.200576
84,0.836608,0.420864,0.387072,0.807936
85,0.828416,0.420864,0.37888,0.799744
86,0.825344,0.420864,0.375808,0.796672
87,0.822272,0.420864,0.372736,0.7936
88,0.821248,0.420864,0.370688,0.791552
89,0.835584,0.420864,0.385024,0.805888
90,0.873472,0.420864,0.422912,0.843776
91,0.954368,0.420864,0.504832,0.925696
92,0.8192,0.420864,0.369664,0.790528
93,0.8192,0.421888,0.369664,0.791552
94,0.828416,0.420864,0.37888,0.799744
95,0.9472,0.41984,0.498688,0.918528
96,0.927744,0.420864,0.477184,0.898048
97,0.817152,0.420864,0.367616,0.78848
98,0.831488,0.420864,0.382976,0.80384
99,0.9472,0.41984,0.49664,0.91648
100,0.818176,0.420864,0.36864,0.789504
101,0.827392,0.420864,0.376832,0.797696
102,0.8448,0.420864,0.396288,0.817152
103,0.831488,0.420864,0.381952,0.802816
104,0.973824,0.451584,0.492544,0.944128
105,0.842752,0.420864,0.392192,0.813056
106,0.836608,0.420864,0.387072,0.807936
107,0.908288,0.420864,0.458752,0.879616
108,0.930816,0.420864,0.480256,0.90112
109,0.830464,0.41984,0.379904,0.799744
110,0.82944,0.420864,0.380928,0.801792
111,2.588672,0.420864,2.138112,2.558976
112,0.944128,0.420864,0.494592,0.915456
113,0.8448,0.420864,0.395264,0.816128
114,0.968704,0.41984,0.519168,0.939008
115,0.8704,0.420864,0.421888,0.842752
116,0.8448,0.420864,0.39424,0.815104
117,0.833536,0.420864,0.384,0.804864
118,0.816128,0.420864,0.366592,0.787456
119,0.842752,0.420864,0.393216,0.81408
120,0.83456,0.420864,0.385024,0.805888
121,0.82432,0.420864,0.37376,0.794624
122,0.82944,0.420864,0.37888,0.799744
123,0.958464,0.420864,0.508928,0.929792
124,0.958464,0.420864,0.507904,0.928768
125,0.83456,0.420864,0.385024,0.805888
126,0.817152,0.420864,0.367616,0.78848
127,0.822272,0.420864,0.37376,0.794624
128,0.963584,0.421888,0.514048,0.935936
129,0.82432,0.420864,0.374784,0.795648
130,0.821248,0.420864,0.370688,0.791552
131,0.835584,0.420864,0.386048,0.806912
132,0.96768,0.420864,0.51712,0.937984
133,0.823296,0.420864,0.372736,0.7936
134,0.8192,0.420864,0.36864,0.789504
135,0.859136,0.420864,0.4096,0.830464
136,0.82944,0.420864,0.37888,0.799744
137,0.98304,0.432128,0.489472,0.9216
138,0.933888,0.420864,0.484352,0.905216
139,0.8192,0.420864,0.369664,0.790528
140,0.84992,0.420864,0.401408,0.822272
141,0.843776,0.420864,0.393216,0.81408
142,0.820224,0.420864,0.370688,0.791552
143,0.93184,0.421888,0.48128,0.903168
144,0.8448,0.420864,0.395264,0.816128
145,0.823296,0.420864,0.37376,0.794624
146,0.95744,0.420864,0.507904,0.928768
147,0.848896,0.420864,0.39936,0.820224
148,0.832512,0.420864,0.382976,0.80384
149,0.995328,0.420864,0.545792,0.966656
150,0.852992,0.420864,0.402432,0.823296
151,0.850944,0.420864,0.401408,0.822272
152,0.966656,0.420864,0.516096,0.93696
153,0.822272,0.421888,0.371712,0.7936
154,0.832512,0.425984,0.37376,0.799744
155,0.838656,0.421888,0.388096,0.809984
156,0.950272,0.420864,0.500736,0.9216
157,0.825344,0.420864,0.376832,0.797696
158,0.822272,0.420864,0.372736,0.7936
159,0.8448,0.420864,0.395264,0.816128
160,0.954368,0.421888,0.504832,0.92672
161,0.827392,0.421888,0.377856,0.799744
162,0.83456,0.420864,0.384,0.804864
163,0.83456,0.420864,0.384,0.804864
164,0.83456,0.420864,0.384,0.804864
165,0.823296,0.420864,0.372736,0.7936
166,0.94208,0.420864,0.49152,0.912384
167,0.903168,0.420864,0.453632,0.874496
168,0.830464,0.420864,0.379904,0.800768
169,0.822272,0.420864,0.371712,0.792576
170,0.825344,0.420864,0.375808,0.796672
171,0.836608,0.420864,0.387072,0.807936
172,0.912384,0.420864,0.461824,0.882688
173,0.968704,0.436224,0.502784,0.939008
174,0.822272,0.420864,0.371712,0.792576
175,0.840704,0.420864,0.391168,0.812032
176,0.9472,0.420864,0.497664,0.918528
177,0.826368,0.420864,0.376832,0.797696
178,0.830464,0.420864,0.380928,0.801792
179,0.964608,0.41984,0.515072,0.934912
180,0.894976,0.420864,0.446464,0.867328
181,0.827392,0.421888,0.377856,0.799744
182,0.832512,0.420864,0.382976,0.80384
183,0.837632,0.420864,0.388096,0.80896
184,0.881664,0.420864,0.432128,0.852992
185,0.82432,0.420864,0.375808,0.796672
186,0.832512,0.420864,0.382976,0.80384
187,0.856064,0.41984,0.405504,0.825344
188,0.8448,0.432128,0.385024,0.817152
189,0.847872,0.433152,0.385024,0.818176
190,0.948224,0.420864,0.498688,0.919552
191,0.842752,0.420864,0.393216,0.81408
192,0.833536,0.420864,0.382976,0.80384
193,0.821248,0.420864,0.371712,0.792576
194,0.832512,0.420864,0.384,0.804864
195,0.958464,0.420864,0.508928,0.929792
196,0.868352,0.420864,0.417792,0.838656
197,0.827392,0.421888,0.377856,0.799744
198,0.835584,0.420864,0.386048,0.806912
199,0.96768,0.420864,0.518144,0.939008
200,0.851968,0.420864,0.403456,0.82432
201,0.827392,0.420864,0.37888,0.799744
202,0.837632,0.420864,0.388096,0.80896
203,0.833536,0.420864,0.384,0.804864
204,0.837632,0.421888,0.387072,0.80896
205,0.82432,0.420864,0.37376,0.794624
206,0.822272,0.421888,0.372736,0.794624
207,0.917504,0.420864,0.467968,0.888832
208,0.953344,0.420864,0.503808,0.924672
209,0.830464,0.420864,0.379904,0.800768
210,0.827392,0.421888,0.377856,0.799744
211,0.832512,0.420864,0.382976,0.80384
212,0.845824,0.420864,0.397312,0.818176
213,0.954368,0.420864,0.503808,0.924672
214,0.845824,0.433152,0.376832,0.809984
215,0.840704,0.420864,0.391168,0.812032
216,0.8448,0.420864,0.39424,0.815104
217,1.11616,0.420864,0.666624,1.087488
218,0.95232,0.41984,0.50176,0.9216
219,0.827392,0.420864,0.37888,0.799744
220,0.907264,0.420864,0.456704,0.877568
221,0.948224,0.420864,0.497664,0.918528
222,0.9472,0.420864,0.49664,0.917504
223,0.826368,0.420864,0.375808,0.796672
224,0.82944,0.420864,0.380928,0.801792
225,0.835584,0.420864,0.385024,0.805888
226,0.841728,0.420864,0.393216,0.81408
227,0.840704,0.420864,0.392192,0.813056
228,0.82432,0.421888,0.374784,0.796672
229,0.886784,0.420864,0.437248,0.858112
230,0.963584,0.420864,0.514048,0.934912
231,0.82944,0.420864,0.379904,0.800768
232,0.820224,0.420864,0.370688,0.791552
233,0.833536,0.420864,0.385024,0.805888
234,0.84992,0.42496,0.396288,0.821248
235,0.845824,0.420864,0.395264,0.816128
236,0.837632,0.420864,0.388096,0.80896
237,0.822272,0.420864,0.372736,0.7936
238,0.838656,0.421888,0.38912,0.811008
239,0.96256,0.420864,0.514048,0.934912
240,0.83968,0.420864,0.390144,0.811008
241,0.842752,0.432128,0.382976,0.815104
242,0.831488,0.420864,0.381952,0.802816
243,0.827392,0.420864,0.37888,0.799744
244,0.841728,0.420864,0.392192,0.813056
245,0.964608,0.420864,0.515072,0.935936
246,0.928768,0.420864,0.479232,0.900096
247,0.852992,0.420864,0.403456,0.82432
248,0.837632,0.420864,0.388096,0.80896
249,0.835584,0.420864,0.387072,0.807936
250,0.826368,0.41984,0.377856,0.797696
251,0.827392,0.420864,0.377856,0.79872
252,0.82432,0.420864,0.374784,0.795648
253,0.842752,0.420864,0.393216,0.81408
254,0.847872,0.420864,0.39936,0.820224
255,1.11616,0.420864,0.6656,1.086464
256,0.915456,0.420864,0.46592,0.886784
257,0.845824,0.421888,0.396288,0.818176
258,0.841728,0.420864,0.392192,0.813056
259,0.852992,0.433152,0.390144,0.823296
260,0.832512,0.420864,0.382976,0.80384
261,0.82944,0.420864,0.37888,0.799744
262,0.9728,0.420864,0.523264,0.944128
263,0.838656,0.420864,0.390144,0.811008
264,0.825344,0.420864,0.375808,0.796672
265,0.838656,0.41984,0.388096,0.807936
266,0.831488,0.420864,0.381952,0.802816
267,0.84992,0.420864,0.400384,0.821248
268,0.83456,0.420864,0.384,0.804864
269,0.822272,0.420864,0.372736,0.7936
270,0.830464,0.420864,0.379904,0.800768
271,0.831488,0.420864,0.382976,0.80384
272,0.969728,0.420864,0.520192,0.941056
273,0.899072,0.420864,0.449536,0.8704
274,0.825344,0.420864,0.375808,0.796672
275,0.828416,0.420864,0.37888,0.799744
276,0.843776,0.420864,0.39424,0.815104
277,0.9472,0.420864,0.497664,0.918528
278,0.827392,0.420864,0.376832,0.797696
279,0.846848,0.420864,0.397312,0.818176
280,0.837632,0.420864,0.388096,0.80896
281,0.843776,0.420864,0.393216,0.81408
282,0.828416,0.420864,0.377856,0.79872
283,0.825344,0.420864,0.375808,0.796672
284,0.826368,0.420864,0.376832,0.797696
285,0.862208,0.420864,0.412672,0.833536
286,0.843776,0.420864,0.39424,0.815104
287,1.12128,0.420864,0.67072,1.091584
288,0.946176,0.420864,0.495616,0.91648
289,0.832512,0.420864,0.382976,0.80384
290,0.852992,0.420864,0.402432,0.823296
291,0.857088,0.420864,0.408576,0.82944
292,0.932864,0.420864,0.483328,0.904192
293,0.965632,0.429056,0.50688,0.935936
294,0.954368,0.420864,0.505856,0.92672
295,0.95744,0.421888,0.50688,0.928768
296,0.863232,0.427008,0.406528,0.833536
297,0.827392,0.420864,0.371712,0.792576
298,0.825344,0.420864,0.374784,0.795648
299,0.84992,0.420864,0.400384,0.821248
